month,scheme_id,jaccard,l1_weight_change,new_positions,disappeared_positions
2023-09,uti:773,0.9636363636363636,0.035500000000000004,1,1
2023-10,absl:ABSLBCF,0.9777777777777777,0.03827654900000002,1,0
2023-10,absl:ABSLESG,0.9772727272727273,0.06862890999999999,1,0
2023-10,absl:ABSLMAAF,0.847457627118644,0.128261964,6,3
2023-10,absl:ABSLMCF,0.825,0.171642485,6,8
2023-10,absl:ABSLSO,0.9508196721311475,0.07954777,2,1
2023-10,absl:ADVG,0.96,0.07752208299999999,2,1
2023-10,absl:BDYP,1.0,0.06862447199999999,0,0
2023-10,absl:BINFRA,0.9444444444444444,0.09172143999999999,1,2
2023-10,absl:BSL95F,0.9753086419753086,0.051701989000000004,2,0
2023-10,absl:BSLBKFS,0.8780487804878049,0.08908199799999997,2,3
2023-10,absl:BSLDAAF,0.9537037037037037,0.06209818500000001,3,2
2023-10,absl:BSLEQTY,1.0,0.030190480000000006,0,0
2023-10,absl:BSLFEF,0.9615384615384616,0.041559834,1,2
2023-10,absl:BSLMFG,1.0,0.03310029100000001,0,0
2023-10,absl:BSLNMF,0.9310344827586207,0.04475658700000001,1,1
2023-10,absl:BSLPHF,0.9642857142857143,0.10052874300000003,0,1
2023-10,absl:BSLR96,1.0,0.07345157000000001,0,0
2023-10,absl:BSLTA1,0.9090909090909091,0.095901174,3,7
2023-10,absl:BTOP100,1.0,0.04482948599999999,0,0
2023-10,absl:GENNEXT,0.9615384615384616,0.064511496,2,1
2023-10,absl:MIDCAP,1.0,0.048647440000000014,0,0
2023-10,absl:MNC,0.9827586206896551,0.068818062,1,0
2023-10,absl:PSUEQ,1.0,0.10040687300000001,0,0
2023-10,absl:PURE,1.0,0.085785971,0,0
2023-10,axis:AXISBCF,0.8846153846153846,0.1092,6,0
2023-10,axis:AXISDEF,0.8679245283018868,0.14370000000000002,7,0
2023-10,axis:AXISEHF,0.8793103448275862,0.11019999999999999,7,0
2023-10,axis:AXISEQF,0.975,0.06570000000000001,0,1
2023-10,axis:AXISESG,0.9523809523809523,0.0916,2,0
2023-10,axis:AXISF25,1.0,0.043599999999999986,0,0
2023-10,axis:AXISGOF,0.873015873015873,0.1108,3,5
2023-10,axis:AXISMCF,0.9850746268656716,0.05929999999999999,1,0
2023-10,axis:AXISMLC,0.9672131147540983,0.06670000000000002,1,1
2023-10,axis:AXISMLF,1.0,0.07790000000000001,0,0
2023-10,axis:AXISQUA,0.7017543859649122,0.3075,7,10
2023-10,axis:AXISSCF,0.9795918367346939,0.06349999999999999,2,0
2023-10,axis:AXISSSF,0.926829268292683,0.059799999999999985,2,1
2023-10,axis:AXISTAF,0.9787234042553191,0.04529999999999999,1,0
2023-10,axis:AXISTSF,0.975,0.04589999999999999,1,0
2023-10,axis:AXISVAL,0.8870967741935484,0.2017,6,1
2023-10,dsp:DAAF,0.8740157480314961,0.0551,9,7
2023-10,dsp:EQUITYOPPOR,1.0,0.05479999999999999,0,0
2023-10,dsp:FOCUS,0.9333333333333333,0.07709999999999997,1,1
2023-10,dsp:Flexi Cap,1.0,0.05549999999999996,0,0
2023-10,dsp:HEALTHCARE,1.0,0.060700000000000025,0,0
2023-10,dsp:MIDCAP,0.9298245614035088,0.08380000000000003,1,3
2023-10,dsp:Multi Asset,0.6,0.1483,10,0
2023-10,dsp:NRNEF,0.9,0.07050000000000001,2,0
2023-10,dsp:QUANT,0.9347826086956522,0.2098,1,2
2023-10,dsp:SMALLCAP,0.9473684210526315,0.0772,2,2
