month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE151A01013,24,0.010634206708333331,0.0012889947525252523,3955.7386073,,,0
2023-08,INE151G01010,1,0.0052,2.626262626262626e-05,117.3597,,,0
2023-08,INE152A01029,18,0.01698307627777778,0.0015439160252525255,3895.24185,,,0
2023-08,INE152M01016,10,0.0108738182,0.0005491827373737373,964.026949,,,0
2023-08,INE154A01025,79,0.03267123311392406,0.013035492000000003,22141.87449515,,,0
2023-08,INE155A01022,64,0.020171500265625003,0.006520080893939395,8892.5021853,,,0
2023-08,INE158A01026,52,0.015049404134615384,0.003952368762626263,4668.3474,,,0
2023-08,INE159A01016,17,0.011497917588235294,0.0009871949444444444,1113.7115,,,0
2023-08,INE160A01022,11,0.01437423909090909,0.0007985688383838383,698.6651,,,0
2023-08,INE161A01038,2,0.001417615,1.4319343434343435e-05,93.5738,,,0
2023-08,INE162A01010,1,0.0014,7.0707070707070704e-06,84.6754,,,0
2023-08,INE168A01041,3,0.009033333333333332,0.00013686868686868685,77.4301,,,0
2023-08,INE169A01031,31,0.015492898129032257,0.0024256557676767673,4296.375078,,,0
2023-08,INE171A01029,55,0.013341379509090907,0.003705938752525252,6499.177196095,,,0
2023-08,INE171Z01018,10,0.0120296833,0.0006075597626262626,1189.667965,,,0
2023-08,INE172A01027,5,0.0063467768,0.00016027214141414142,273.192675,,,0
2023-08,INE176A01028,36,0.013012046916666666,0.002365826712121212,3932.25840014,,,0
2023-08,INE176B01034,23,0.01376737908695652,0.0015992410050505047,1819.44451202,,,0
2023-08,INE177A01018,5,0.010623638199999999,0.0002682736919191919,398.7778,,,0
2023-08,INE177F01017,1,0.0187,9.444444444444446e-05,30.7668,,,0
2023-08,INE178A01016,2,0.009759773999999999,9.858357575757575e-05,24.9145,,,0
2023-08,INE179A01014,18,0.025515995666666666,0.00231963596969697,4164.3114,,,0
2023-08,INE180A01020,52,0.012557661711538463,0.0032979717626262627,7532.31213535,,,0
2023-08,INE182A01018,15,0.008684331333333331,0.0006579038888888888,1036.8095,,,0
2023-08,INE183A01024,5,0.013119999999999998,0.0003313131313131313,1060.4268,,,0
2023-08,INE186A01019,3,0.004247234666666666,6.435204040404041e-05,16.4817,,,0
2023-08,INE188B01013,1,0.0042,2.121212121212121e-05,7.8152,,,0
2023-08,INE189B01011,1,0.0021,1.0606060606060606e-05,78.1966,,,0
2023-08,INE191A01027,2,0.009204941500000001,9.297920707070708e-05,81.9064,,,0
2023-08,INE191B01025,2,0.020870747000000002,0.00021081562626262628,299.3325,,,0
2023-08,INE191H01014,32,0.015057508312500002,0.0024335366969696973,4118.5926,,,0
2023-08,INE192A01025,24,0.0103281615,0.0012518983636363636,2030.550129,,,0
2023-08,INE192B01031,3,0.007382734333333334,0.00011185961111111112,102.7151,,,0
2023-08,INE192R01011,48,0.02615565422916667,0.006340764661616162,15396.1130735,,,0
2023-08,INE193E01025,12,0.009952179333333333,0.0006031623838383839,1397.9652,,,0
2023-08,INE195A01028,28,0.015429935035714286,0.0021820110151515152,5586.766589,,,0
2023-08,INE195J01029,23,0.008905646826086955,0.0010344943282828282,1524.583076,,,0
2023-08,INE196A01026,23,0.011491820869565217,0.0013349084848484848,1149.0043965,,,0
2023-08,INE199A01012,6,0.01614250466666667,0.0004891668080808081,580.7803,,,0
2023-08,INE199G01027,5,0.0013227628,3.340310101010101e-05,218.7326,,,0
2023-08,INE200A01026,8,0.015348596625,0.0006201453181818182,1148.8554,,,0
2023-08,INE200M01021,5,0.02346,0.0005924242424242425,607.7343,,,0
2023-08,INE201P01022,23,0.009747320217391305,0.0011322644696969697,1758.3007,,,0
2023-08,INE202Z01029,1,0.0032,1.616161616161616e-05,116.2873,,,0
2023-08,INE203A01020,2,0.004875333,4.924578787878788e-05,256.6369,,,0
2023-08,INE203G01027,24,0.010229457708333334,0.0012399342676767677,1872.12796834,,,0
