month,scheme_id,stocks,observed_nav_weight
2026-04,dsp:Flexi Cap,62,0.9136
2026-04,dsp:Focused,29,0.9193999999999998
2026-04,dsp:HEALTHCARE,25,0.7963
2026-04,dsp:Large & Mid Cap,75,0.9452999999999999
2026-04,dsp:Large Cap,32,0.9087999999999998
2026-04,dsp:MIDCAP,61,0.9509999999999997
2026-04,dsp:Multi Asset,48,0.4079
2026-04,dsp:Multicap Fund,63,0.9377
2026-04,dsp:NRNEF,23,0.7351
2026-04,dsp:QUANT,40,0.9503999999999996
2026-04,dsp:SMALLCAP,81,0.9163999999999998
2026-04,dsp:TAX,59,0.9415999999999998
2026-04,dsp:TIGER,65,0.9061000000000001
2026-04,dsp:VALUE,56,0.6470999999999998
2026-04,hdfc:HDFCBKGFSF,33,0.9838999999999999
2026-04,hdfc:HDFCBUSICY,57,0.8945999999999998
2026-04,hdfc:HDFCCB,71,0.9738999999999998
2026-04,hdfc:HDFCCS,29,0.9072000000000002
2026-04,hdfc:HDFCDFNFND,22,0.9806999999999999
2026-04,hdfc:HDFCDIVYLD,128,0.9839000000000004
2026-04,hdfc:HDFCEQ,63,0.9288000000000002
2026-04,hdfc:HDFCGR,153,0.6973999999999996
2026-04,hdfc:HDFCHOF117,35,0.9608000000000002
2026-04,hdfc:HDFCINNOVF,60,0.9656999999999998
2026-04,hdfc:HDFCLARGEF,237,0.9815999999999993
2026-04,hdfc:HDFCMANFFN,82,0.9859000000000001
2026-04,hdfc:HDFCMNCFND,35,0.8763000000000001
2026-04,hdfc:HDFCMULCAP,117,0.9661999999999995
2026-04,hdfc:HDFCNCCFND,49,0.9736999999999998
2026-04,hdfc:HDFCPHARHC,31,0.9729999999999998
2026-04,hdfc:HDFCPM,53,0.7055999999999999
2026-04,hdfc:HDFCSMALLF,84,0.9044999999999999
2026-04,hdfc:HDFCT2,44,0.9640999999999998
2026-04,hdfc:HDFCTECHFD,28,0.9877
2026-04,hdfc:HDFCTRALFD,35,0.9944999999999998
2026-04,hdfc:HDFCTS,55,0.9656999999999999
2026-04,hdfc:HDINFG,66,0.9665000000000001
2026-04,hdfc:MIDCAP,77,0.9345999999999997
2026-04,hdfc:MY2005,77,0.6804
2026-04,icici:BAF,101,0.6841922139999999
2026-04,icici:BANFIN SERVICES,43,0.9566676789999998
2026-04,icici:BCYCLE,74,0.9349448199999999
2026-04,icici:BHACON,62,0.9638424409999999
2026-04,icici:BLUECHIP,81,0.9396914370000001
2026-04,icici:COMFUND,49,0.898174667
2026-04,icici:CONGLO,45,0.9703894509999998
2026-04,icici:DISCO,63,0.9373177680000001
2026-04,icici:DIVYLD,69,0.9358816259999997
2026-04,icici:E&DF,122,0.7475322240000002
2026-04,icici:ENERGY,66,0.9385253900000002
2026-04,icici:ESGFUND,51,0.9775114519999998
2026-04,icici:EXPORTS,65,0.9117165299999999
2026-04,icici:FLEXCAP,78,0.9609541189999999
2026-04,icici:FMCG,29,0.9116136860000001
2026-04,icici:FOCUSED,30,0.970181152
2026-04,icici:HOUSING,53,0.9726989310000003
2026-04,icici:INDOPP,81,0.9288279809999996
2026-04,icici:INFRA,58,0.9467799730000003
2026-04,icici:INNOVA,58,0.9551741360000001
2026-04,icici:LARGE & MIDCAP,83,0.9412680179999999
2026-04,icici:LTEF,91,0.9679751830000002
2026-04,icici:MGFINDIA,96,0.9406996360000001
2026-04,icici:MIDCAP,85,0.980110672
2026-04,icici:MNCFUND,56,0.96800639
2026-04,icici:MOMACT,51,0.891985666
2026-04,icici:MULTI,130,0.6906133080000001
2026-04,icici:MULTICAP,162,0.9796660100000002
2026-04,icici:PHARMA,38,0.9675557660000004
2026-04,icici:PSUEQU,43,0.9211645030000002
2026-04,icici:QUALITY,57,0.9267441020000001
2026-04,icici:QUANT,54,0.9604869810000002
2026-04,icici:RURALOPP,47,0.9497065360000001
2026-04,icici:SMALL,133,0.9086530139999999
2026-04,icici:TECH,62,0.8747906839999999
2026-04,icici:TRANSPO,43,0.9664879979999996
2026-04,icici:VARIANCE,33,0.9165766369999998
2026-04,kotak:BAL,58,0.7911
2026-04,kotak:BFS,33,0.9782000000000002
2026-04,kotak:CMP,43,0.9922000000000001
2026-04,kotak:CON,60,0.9885999999999999
2026-04,kotak:DYF,49,0.9705999999999999
2026-04,kotak:ELS,55,0.9802000000000003
2026-04,kotak:EME,64,0.9943000000000002
2026-04,kotak:ESG,46,0.9661000000000002
2026-04,kotak:HLC,33,0.9902000000000001
2026-04,kotak:K30,60,0.9709000000000002
2026-04,kotak:KAM,48,0.949
2026-04,kotak:KBA,123,0.6954999999999996
2026-04,kotak:KBC,50,0.9578000000000001
2026-04,kotak:KEO,36,0.9419000000000002
2026-04,kotak:KFE,29,0.9508000000000001
2026-04,kotak:KIE,51,0.9981000000000002
2026-04,kotak:KMI,55,0.9811999999999996
2026-04,kotak:KMN,36,0.9535
2026-04,kotak:KOP,67,0.9889000000000004
2026-04,kotak:KPF,48,0.7541
2026-04,kotak:KQT,52,0.9824
2026-04,kotak:MAF,67,0.7296000000000002
2026-04,kotak:MID,76,0.9845999999999999
2026-04,kotak:MUC,72,0.9839999999999999
2026-04,kotak:ROF,45,0.9760999999999999
2026-04,kotak:SEF,56,0.9729999999999998
2026-04,kotak:SPO,35,0.9994000000000001
2026-04,kotak:SRF,31,0.8510999999999999
2026-04,kotak:TAL,31,0.9878000000000001
2026-04,kotak:TCH,24,0.9492
2026-04,mirae:INFRA,41,0.9654180510000001
2026-04,mirae:MABAF,112,0.6848188029999999
2026-04,mirae:MABFF,32,0.9657905279999998
2026-04,mirae:MAEBF,86,0.99186335
2026-04,mirae:MAFCF,92,0.980187877
2026-04,mirae:MAFF,29,0.9684195369999999
2026-04,mirae:MAHCF,32,0.9995501780000002
2026-04,mirae:MAIPF,80,0.7621783119999999
2026-04,mirae:MAMAAF,130,0.6804947420000002
2026-04,mirae:MAMCF,64,0.9785382959999999
2026-04,mirae:MAMPF,81,0.9952353199999998
